,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1962,0.0,339.6495904370194,142.2014808022027,360.63020907671716,223.65001601146705,392.72245161857677,255.90427728287537,381.6927327711835,71.10964144696973,101.73351664793822,311.5601183512693,71.32185477971193,60.90541626650548,223.89566265721086,348.26629687794116,147.1298300709432,321.72444139825893,82.7745309845823,210.2281520264661,68.98094209927964,349.95090792178905,431.5240704558825,232.1525720556683,221.21936200693153,113.69849280809218,251.41119885335243,369.51272197951585,147.44399445350322,339.0168456842572,123.49852247570597,220.74873005357293,208.95396658946547,373.4358669391812,384.98970792831443,275.6214431785304,379.2801301167557,364.17709631034194,307.38284621748926,199.732603397478,222.23742185862784,45.08752656498489,262.79755533917205,110.51038976937303,62.99088777513994,259.7451743809069,368.5446069678517,198.688870956303,410.7678968288372,284.4457127023727,359.8612040318816,208.67590838004642,91.99562272991014,230.75869839949726,133.86454090037148,398.8258902707217,60.31735843339142,51.43594022833673
1963,339.6495904370194,0.0,210.25363722367015,52.60400991214475,93.91474673036006,62.78710242605921,99.34168893096076,46.410013717965356,247.35009327335223,123.95611249548098,71.55973849349583,336.018185695951,338.2870121925546,55.84607783038868,73.00454467795807,179.78632486731638,79.19783871548287,315.88890272083927,129.35728196717832,287.69263343759314,86.551918326083,61.202117708349505,127.30998062260723,68.43955156837995,247.93023883982482,182.7905431159096,50.94055384589916,230.90732717193512,40.95804891347319,174.73639546727796,257.6891116552487,80.34439614786632,57.867511742739175,82.64825288835972,59.171104038173915,73.48396048158662,61.90916486746824,93.6663319689608,236.87708032699263,93.23331989069692,292.56769437868894,65.72128191523285,141.2579530540568,240.05037252342774,115.49896054150805,78.26125485110953,241.82887456386266,62.392301677620324,86.75625963557196,47.98455255404408,125.57707670191333,269.0859497363904,219.41767915414275,252.9619424402878,64.71211179646772,261.9772816667311,115.43522019410365
1964,142.2014808022027,210.25363722367015,0.0,243.21968874238885,147.89735487669782,291.5907360929016,95.81426452391625,249.45304831850973,203.2783620639407,85.98530954500809,124.47074980670047,84.21194631639193,91.57885388775632,180.35828529203235,144.89744120041436,174.76992224716534,170.46182800224514,80.48691441225266,254.0272001202691,144.0064316338343,315.47671126256057,176.19610758607723,268.3201393217146,244.79496202779328,80.98420639392478,41.234621770139086,195.62078998857154,103.14918244493501,165.9216983980657,110.28345185355552,64.71912716473044,178.33497415621036,283.7098946642505,126.01768165561529,274.4444703954318,180.0969608822957,279.53288539833454,86.6848197307081,101.52766383099114,159.25777039957626,164.74658824605328,238.12452040273052,173.59242874266968,223.59156819207664,289.19394611802653,113.80967236368794,52.09070650814276,252.23205145683355,306.61311313338337,218.03178060641116,126.44299358428628,63.400917536405316,77.21804545082003,51.632882250502774,187.1666507457784,123.96075635775888,62.48544740956799
1965,360.63020907671716,52.60400991214475,243.21968874238885,0.0,108.34489753703029,46.63473603710559,111.07233714136255,49.877970385752185,232.1768762687291,165.89556906193778,63.25186469667725,389.0738646151019,375.05681503022953,66.69819079909772,51.545218271964224,209.84160728479822,74.87987711057785,381.40848527876386,103.89544393150305,312.29799924833674,66.64403549643306,42.84620237199671,79.29205269725674,85.6745877556252,262.64070300403245,127.3688429341136,90.12922211568872,211.47320835576994,76.33295819263301,202.50591727753218,200.54857897049885,97.34968146821521,50.18662133006724,51.83935408236163,56.92225559047894,53.48014850904194,66.15398146629147,100.82740352324977,220.09216501431368,114.25381280027561,284.03551739042643,77.75864004973673,147.1467105180805,226.75397557920633,90.38771195694629,58.45856666598498,220.89754370056426,48.92399006409935,76.34780640171437,61.77032167055769,121.91439314742594,326.2765575269543,224.26186632275835,281.66642537123863,67.01214654691269,284.13321812768095,116.32776846336935
1966,223.65001601146705,93.91474673036006,147.89735487669782,108.34489753703029,0.0,136.66236350781793,111.94961753365797,91.08198443988434,172.33399245842182,73.1282383982103,104.27693140280117,200.43478697747162,200.17670182391794,83.14487917313178,121.61413107009285,120.6325360187046,120.77980295879091,185.37588884889522,149.30392655045594,172.59446256016537,147.65897055376564,158.75031282238015,130.52121742173944,105.66375677944806,137.71182671831798,142.96469570377943,109.86407493305316,189.41826279366148,99.12313082982772,164.05131247606107,158.5541753482375,71.44262050045909,102.83353350874806,156.6017849342072,92.42286147700824,122.20915554395103,115.82074748207442,102.68740953806281,187.7025710941879,88.22417402338888,202.37727596668194,93.00518928837475,75.08363127546109,216.67063589116182,98.82914720161737,121.50629854526734,156.33639135913572,140.1815069347046,109.48948963690616,87.52812877990492,139.63760833416856,127.96131584319927,179.14870889408903,159.68771152511033,139.8569062022491,160.78613597320515,96.50773592512496
1967,392.72245161857677,62.78710242605921,291.5907360929016,46.63473603710559,136.66236350781793,0.0,154.5094722453935,46.85838728285611,271.66311713008196,230.86914109962845,117.61520881026982,393.0748073322889,406.04474679565163,107.53945164280461,87.33814643599536,229.2000917773345,105.65194627020284,397.0606885100988,147.33826971438845,335.8527789739497,38.38253128486265,60.851739126668704,119.69720273623615,74.80983822707856,338.17394176592666,190.76297467040706,66.35885865711657,277.54076796554887,71.23897751636449,233.6247266169654,276.6268767061624,114.89569719347413,48.445861692418326,102.35384075070266,49.121711623794496,65.95884423876184,38.20662658506895,153.37261928794254,286.57083319378233,146.92925008892593,327.7862678848205,83.04024831451302,204.48750314436987,251.15053118750419,92.01092051265691,101.85903319187337,272.28499592947117,32.64078328826618,60.789525103344175,52.683187858275126,194.282834818927,356.97708983215165,263.22158083686713,338.45325249336275,47.4370969660484,328.995621659874,143.87320333806719
1968,255.90427728287537,99.34168893096076,95.81426452391625,111.07233714136255,111.94961753365797,154.5094722453935,0.0,114.57664014679153,262.5273881773193,102.91054432443397,68.45361395863969,217.97731961141966,226.56036888658394,113.70224742360523,83.7417528600325,182.05813486500008,67.0628817462193,209.89727773617824,125.29301801118305,234.35447732673157,165.3322012980478,77.81399995381886,110.80740108331445,182.40195676906615,141.57583329506164,92.5147762038471,92.77935784226725,139.37438910237205,109.85215021824818,115.41959683476671,154.12156659789093,125.70962414297693,130.0043044437083,56.332395929511975,185.77029361877902,75.95401421521244,152.39576941525436,40.14253383955136,169.13285931984274,122.25427517461667,249.4745238854326,125.08754238138727,201.1844319056754,241.04013147372106,238.27519684081207,47.79817316467295,137.13329333665425,115.85151913421257,188.99176630471504,116.12734591773196,102.93354231548399,139.3912831784756,141.1985985322871,137.86037649298518,95.57173230154795,202.40772559641553,72.18084626674137
1969,381.6927327711835,46.410013717965356,249.45304831850973,49.877970385752185,91.08198443988434,46.85838728285611,114.57664014679153,0.0,241.67383795065388,165.20059745702005,97.53293734363679,410.77611849780965,406.0855610945618,83.42024402082401,71.84883049471013,174.44429934837711,69.1926361664791,381.37436579958353,100.19977290196366,325.4280473179752,52.39620741745691,55.967628782988015,84.49658478688185,74.46522307808601,289.50818776652847,157.02264111110466,47.99123998095306,229.6647989136952,56.57502946736952,204.24485457670474,243.71418104235966,78.34603749847186,33.08156428600103,87.7339622737679,65.39690200828956,44.84096048391056,50.183505860230476,104.03137666207473,238.51807461855321,91.41262635670641,309.76054599276495,54.361013520599016,168.53329637114035,205.51927177487946,95.71925203511678,71.11437317034812,236.58409928751303,41.31252446171615,57.43334446205594,48.811179218714976,154.99588563549673,319.83550589329786,217.92503440376268,291.17973486255903,51.18854714815624,310.0241886568453,124.97945835248731
1970,71.10964144696973,247.35009327335223,203.2783620639407,232.1768762687291,172.33399245842182,271.66311713008196,262.5273881773193,241.67383795065388,0.0,91.88639488274734,287.921042542633,131.1651482815458,115.43471808800004,162.86694662141215,233.64040949823476,112.05278185656536,210.66773232052094,120.81756091170698,92.71826774328932,59.35811721802985,234.65917095272064,301.64029246387213,107.91570932490123,153.55566053609323,132.64419560276065,302.1050215219846,210.5187208145419,185.78937485605437,258.51111524288484,139.63545486878658,257.89013552141233,161.33861619363773,232.66307689545408,317.45060934773744,173.5739462335798,224.17292013571193,254.89222977186364,289.6493638697485,229.79307075342217,167.33953946792087,52.497888038748215,153.64383444794186,76.76733519958894,47.98252893485234,158.66316742095427,271.498518237088,253.92123450729417,271.8032531786342,182.76541559695784,258.00062607797537,206.60590908884387,127.56642289527281,300.89956535408675,192.75164574900217,285.7052172218165,71.46928240648856,71.01976501040238
1971,101.73351664793822,123.95611249548098,85.98530954500809,165.89556906193778,73.1282383982103,230.86914109962845,102.91054432443397,165.20059745702005,91.88639488274734,0.0,131.2903950298182,101.12326781744035,103.08561598217162,97.77520194896678,191.33597467312154,84.63716531105564,223.90608475490828,91.76641945991611,111.37923476365572,111.8561437593432,214.07363203939545,243.40881026970993,151.42784503777096,127.37329555146908,102.01448495582939,112.09637425062621,151.24407111777523,156.03919410885138,118.33309771999036,101.6308886529355,99.8525216758398,93.96318378799086,176.02716848604055,192.8491031075949,144.18966633595588,230.8535410171824,201.30205199154636,102.4284057937502,175.94677045863426,113.99177823197986,111.26093583609571,125.31250903050764,54.93121872299618,102.41882361286986,145.9783315150593,186.6097084256521,113.58983839380444,231.37612461325256,157.5108094332301,136.03393910496385,132.36828936827382,67.14359613830777,163.31103436539723,84.06963156691616,228.2349202969117,72.28247001653267,58.113206200699544
